,,, Experiment number: ,Unnamed: 1,#1767,Unnamed: 3
,,, Experiment date: ,,February-2-2018,
,,, Animal Strain: ,,,
,,, Animal Birthdate: ,,February-2-2018,
,,, Color of Animal: ,,Dark,
,,, Size of Animal: ,,Regular,
,,,Analysis Length:,,"23:51'38""",
,,,,,,
,,,Distance Traveled,=,257.51181,(meters)
,,,,,,
,,,,,,
 From Time ,  To Time  , Length(seconds) , Behavior ,Comment,,
"9'42""","9'42""",0.24,Rear up Partially,,,
"9'42""","9'44""",1.32,Remain Partially Reared,,,
"9'44""","9'44""",0.24,Rear up Full From Partial,,,
"9'44""","9'44""",0.24,Come Down To Partially Reared,,,
"9'44""","9'45""",0.48,Sniff,,,
"9'45""","9'45""",0.36,Remain Partially Reared,,,
"9'45""","9'45""",0.36,Rear up Full From Partial,,,
"9'45""","9'47""",1.20,Sniff,,,
"9'47""","9'47""",0.24,Come Down To Partially Reared,,,
"9'47""","9'48""",0.88,"RearUp(RUfromPR, RemainRU)",,,
"9'48""","9'48""",0.44,Come Down To Partially Reared,,,
"9'48""","9'50""",1.44,Sniff,,,
"9'50""","9'50""",0.48,Drink Spout1,,,
"9'50""","9'52""",1.68,Sniff,,,
"9'52""","9'52""",0.24,Remain Partially Reared,,,
"9'52""","9'53""",0.48,Come Down From Partially Reared,,,
"9'54""","9'54""",0.24,Rear up Partially,,,
"9'54""","9'55""",0.96,Remain Partially Reared,,,
"9'55""","9'55""",0.24,Come Down From Partially Reared,,,
"9'55""","9'55""",0.24,Rear up Partially,,,
"9'55""","9'56""",0.24,Remain Partially Reared,,,
"9'56""","9'56""",0.24,Rear up Full From Partial,,,
"9'56""","9'56""",0.48,Sniff,,,
"9'56""","9'57""",0.24,Come Down To Partially Reared,,,
"9'57""","9'57""",0.24,Sniff,,,
"9'57""","9'57""",0.24,Rear up Full From Partial,,,
"9'57""","9'57""",0.48,Sniff,,,
"9'57""","9'58""",0.24,Come Down,,,
"9'58""","9'58""",0.72,Walk Left,,,
"9'58""","9'59""",0.24,Rear up Partially,,,
"9'59""","9'59""",0.48,Sniff,,,
"9'59""","9'59""",0.24,Come Down From Partially Reared,,,
"10'01""","10'01""",0.24,Rear up Partially,,,
"10'01""","10'06""",4.80,Eat Zone1,,,
"10'06""","10'06""",0.24,Come Down From Partially Reared,,,
"10'06""","10'06""",0.48,Walk Right,,,
"10'06""","10'07""",0.28,Forage,,,
"10'07""","10'07""",0.24,Walk Right,,,
"10'07""","10'08""",0.24,Walk Slowly,,,
"10'10""","10'10""",0.32,Dig,,,
"10'10""","10'10""",0.12,Forage,,,
"10'10""","10'11""",0.16,Dig,,,
"10'11""","10'11""",0.20,Forage,,,
"10'12""","10'12""",0.24,Rear up Partially,,,
"10'12""","10'12""",0.24,Remain Partially Reared,,,
"10'12""","10'12""",0.24,Come Down From Partially Reared,,,
"10'13""","10'13""",0.24,Walk Slowly,,,
"10'16""","10'16""",0.16,Forage,,,
"10'16""","10'16""",0.28,Remain Partially Reared,,,
"10'16""","10'17""",0.24,Come Down From Partially Reared,,,
"10'17""","10'17""",0.24,Rear up Partially,,,
"10'17""","10'17""",0.24,Come Down From Partially Reared,,,
"10'17""","10'18""",0.48,"RearUp(RUtoPR, RUfromPR)",,,
"10'18""","10'19""",0.96,Sniff,,,
"10'19""","10'19""",0.24,Hang Vertically From Rear Up,,,
"10'19""","10'19""",0.24,Stretch Body,,,
"10'19""","10'20""",0.24,Land Vertically,,,
"10'20""","10'20""",0.24,Hang Vertically From Rear Up,,,
"10'20""","10'20""",0.24,Land Vertically,,,
"10'20""","10'20""",0.24,Remain RearUp,,,
"10'20""","10'21""",0.24,Come Down To Partially Reared,,,
"10'21""","10'21""",0.72,Sniff,,,
"10'21""","10'22""",0.40,Come Down From Partially Reared,,,
"10'22""","10'22""",0.68,"RearUp(RUfromPR, RemainRU)",,,
"10'22""","10'23""",0.24,Hang Vertically From Rear Up,,,
"10'23""","10'23""",0.24,Land Vertically,,,
"10'23""","10'24""",0.72,"HangVertically(HVfromRU, RemainHV)",,,
"10'24""","10'24""",0.24,Land Vertically,,,
"10'24""","10'25""",1.44,Remain RearUp,,,
"10'25""","10'26""",0.36,Sniff,,,
"10'26""","10'26""",0.24,Walk Left,,,
"10'26""","10'26""",0.24,Come Down From Partially Reared,,,
"10'26""","10'27""",1.20,Walk Left,,,
"10'27""","10'27""",0.24,Rear up Partially,,,
"10'27""","10'28""",0.60,Jump,,,
"10'28""","10'28""",0.28,Rear up Partially,,,
"10'28""","10'30""",1.44,Eat Zone1,,,
"10'30""","10'30""",0.48,Remain RearUp,,,
"10'30""","10'31""",0.24,Hang Vertically From Rear Up,,,
"10'31""","10'36""",5.28,"HangCuddled(HangCudl, RemainHC)",,,
"10'36""","10'36""",0.24,Come Down From Partially Reared,,,
"10'37""","10'38""",0.24,Rear up Partially,,,
"10'38""","10'38""",0.36,Remain Partially Reared,,,
"10'38""","10'38""",0.24,Rear up Full From Partial,,,
"10'38""","10'40""",1.44,Sniff,,,
"10'40""","10'40""",0.24,Come Down To Partially Reared,,,
"10'40""","10'40""",0.24,Sniff,,,
"10'40""","10'40""",0.24,Rear up Full From Partial,,,
"10'40""","10'41""",0.24,Come Down To Partially Reared,,,
"10'41""","10'41""",0.24,Sniff,,,
"10'41""","10'41""",0.24,Remain Partially Reared,,,
"10'41""","10'41""",0.24,Come Down From Partially Reared,,,
"10'42""","10'46""",3.88,Groom,,PLF,
"10'47""","10'48""",0.24,Rear up Partially,,,
"10'48""","10'50""",2.16,Eat Zone1,,,
"10'50""","10'50""",0.24,Hang Vertically From Rear Up,,,
"10'50""","10'52""",2.20,"HangCuddled(HangCudl, RemainHC)",,,
"10'54""","10'56""",2.44,Groom,,PLF,
"10'57""","10'57""",0.36,Rear up Partially,,,
"10'57""","10'58""",0.24,Remain Partially Reared,,,
"10'58""","10'58""",0.24,Rear up Full From Partial,,,
"10'58""","10'59""",1.44,Sniff,,,
"10'59""","11'00""",0.24,Come Down To Partially Reared,,,
"11'00""","11'00""",0.24,Sniff,,,
"11'00""","11'00""",0.56,Jump,,,
"11'00""","11'01""",0.28,Come Down,,,
"11'03""","11'05""",1.08,Walk Right,,,
"11'05""","11'05""",0.72,Stretch Body,,,
"11'05""","11'06""",0.24,Walk Right,,,
"11'07""","11'07""",0.36,Forage,,,
"11'07""","11'07""",0.20,Dig,,,
"11'08""","11'08""",0.24,Rear up Partially,,,
"11'08""","11'10""",1.68,Remain Partially Reared,,,
"11'10""","11'10""",0.24,Stationary,,,
"11'10""","11'12""",1.92,Sniff,,,
"11'12""","11'13""",0.72,Sniff,,,
"11'13""","11'13""",0.48,Drink Spout1,,,
"11'13""","11'13""",0.40,Come Down From Partially Reared,,,
"11'13""","11'14""",0.44,Rear up Partially,,,
"11'14""","11'15""",0.72,Sniff,,,
"11'15""","11'15""",0.24,Remain Partially Reared,,,
"11'15""","11'15""",0.36,Sniff,,,
"11'15""","11'15""",0.24,Come Down From Partially Reared,,,
"11'15""","11'16""",0.36,Remain Partially Reared,,,
"11'16""","11'19""",3.20,Groom,,PLF,
"11'19""","11'19""",0.48,Remain Partially Reared,,,
"11'19""","11'24""",4.60,Groom,,PLR<-HdW,
"11'24""","11'25""",0.52,Remain Partially Reared,,,
"11'25""","11'25""",0.24,Rear up Full From Partial,,face-front/back,
"11'25""","11'25""",0.40,Drink Spout1,,,
"11'25""","11'37""",11.48,Groom,,PLF,
"11'37""","11'37""",0.28,Stretch Body,,,
"11'37""","11'37""",0.24,Dig,,,
"11'37""","11'37""",0.16,Forage,,,
"11'37""","11'38""",0.40,Dig,,,
"11'38""","11'38""",0.08,Forage,,,
"11'38""","11'38""",0.20,Dig,,,
"11'38""","11'38""",0.32,Forage,,,
"11'40""","11'40""",0.24,Dig,,,
"11'40""","11'44""",4.12,Groom,,PLF,
"11'44""","11'45""",0.28,Walk Left,,,
"11'45""","11'46""",0.96,Eat Zone1,,,
"11'46""","11'46""",0.32,Dig,,,
"11'46""","11'47""",0.20,Dig,,,
"11'47""","11'47""",0.24,Forage,,,
"11'47""","11'47""",0.16,Rear up Partially,,,
"11'47""","12'01""",13.52,Groom,,PLF(Night),
"12'04""","12'07""",3.08,Groom,,PLR,
"12'07""","12'19""",11.56,Eat Zone1,,,
"12'19""","12'19""",0.48,Chew,,,
"12'20""","12'20""",0.44,"ComeDown(CDtoPR, CDfromPR)",,,
"12'20""","12'20""",0.16,Forage,,,
"12'20""","12'20""",0.28,Rear Up,,,
"12'21""","12'22""",0.96,Eat Zone1,,,
"12'22""","12'22""",0.24,Remain RearUp,,,
"12'22""","12'22""",0.24,Come Down,,,
"12'22""","12'23""",0.24,Rear up Partially,,,
"12'23""","12'23""",0.24,Come Down From Partially Reared,,,
"12'23""","12'23""",0.24,Walk Right,,,
"12'23""","12'23""",0.24,Walk Slowly,,,
"12'24""","12'24""",0.48,Walk Right,,,
"12'24""","12'26""",1.20,"RearUp(RUtoPR, RUfromPR, RemainRU)",,,
"12'26""","12'26""",0.24,Hang Vertically From Rear Up,,,
"12'26""","12'31""",4.92,"HangCuddled(HangCudl, RemainHC)",,,
"12'31""","12'31""",0.36,Sniff,,,
"12'31""","12'31""",0.24,Remain Partially Reared,,,
"12'31""","12'32""",0.24,Come Down From Partially Reared,,,
"12'32""","12'32""",0.24,Rear up Partially,,,
"12'32""","12'33""",0.96,Sniff,,,
"12'33""","12'33""",0.24,Come Down From Partially Reared,,,
"12'33""","12'33""",0.24,Rear up Partially,,,
"12'33""","12'34""",0.24,Come Down From Partially Reared,,,
"12'35""","12'35""",0.72,Walk Left,,,
"12'35""","12'36""",0.24,Remain Partially Reared,,,
"12'36""","12'36""",0.24,Rear up Full From Partial,,,
"12'36""","12'36""",0.48,Sniff,,,
"12'36""","12'38""",1.92,Eat Zone1,,,
"12'38""","12'39""",0.72,"HangVertically(HVfromRU, RemainHV)",,,
"12'39""","12'39""",0.24,Land Vertically,,,
"12'39""","12'39""",0.24,Hang Vertically From Rear Up,,,
"12'39""","12'40""",0.48,"HangCuddled(HangCudl, RemainHC)",,,
"12'40""","12'40""",0.24,Come Down From Partially Reared,,,
"12'40""","12'41""",0.52,Walk Right,,,
"12'41""","12'41""",0.60,Dig,,,
"12'41""","12'42""",0.20,Dig,,,
"12'42""","12'42""",0.32,Forage,,,
"12'42""","12'42""",0.28,Walk Right,,,
"12'42""","12'43""",0.48,"RearUp(RUtoPR, RUfromPR)",,,
"12'43""","12'43""",0.72,Sniff,,,
"12'43""","12'44""",0.24,Stretch Body,,,
"12'44""","12'45""",0.96,"HangVertically(HVfromRU, RemainHV)",,,
"12'45""","12'48""",3.00,"HangCuddled(HangCudl, RemainHC)",,,
"12'48""","12'53""",5.48,Groom,,PLF<-HdW,
"12'54""","12'54""",0.24,Walk Left,,,
"12'54""","12'55""",0.24,Rear up Partially,,,
"12'55""","12'55""",0.24,Sniff,,,
"12'55""","12'55""",0.48,"RearUp(RUfromPR, RemainRU)",,,
"12'55""","12'56""",0.24,Come Down To Partially Reared,,,
"12'56""","12'56""",0.24,Sniff,,,
"12'56""","12'56""",0.24,Rear up Full From Partial,,,
"12'56""","12'57""",0.72,Sniff,,,
"12'57""","12'57""",0.24,Come Down To Partially Reared,,,
"12'57""","12'57""",0.24,Sniff,,,
"12'57""","12'58""",0.72,Drink Spout1,,,
"12'58""","12'58""",0.24,Rear up Full From Partial,,,
"12'58""","12'58""",0.24,Come Down To Partially Reared,,,
"12'58""","12'59""",0.48,Sniff,,,
"12'59""","12'59""",0.24,Come Down From Partially Reared,,,
"13'00""","13'00""",0.24,Walk Slowly,,,
"13'00""","13'01""",0.72,Walk Left,,,
"13'01""","13'01""",0.48,"RearUp(RUtoPR, RUfromPR)",,,
"13'01""","13'02""",0.96,Sniff,,face-front/back,
"13'02""","13'02""",0.24,Come Down,,,
