,,, Experiment number: ,Unnamed: 1,#1767,Unnamed: 3
,,, Experiment date: ,,February-2-2018,
,,, Animal Strain: ,,,
,,, Animal Birthdate: ,,February-2-2018,
,,, Color of Animal: ,,Dark,
,,, Size of Animal: ,,Regular,
,,,Analysis Length:,,"23:51'38""",
,,,,,,
,,,Distance Traveled,=,257.51181,(meters)
,,,,,,
,,,,,,
 From Time ,  To Time  , Length(seconds) , Behavior ,Comment,,
"11:25'59""","11:25'59""",0.24,Forage,,,
"11:25'59""","11:26'00""",0.32,Forage,,,
"11:26'00""","11:26'01""",1.60,Forage,,,
"11:26'01""","11:26'06""",4.36,Remain Partially Reared,,Night,
"11:26'06""","11:26'06""",0.08,Forage,,Night,
"11:26'06""","11:26'06""",0.24,Dig,,,
"11:26'06""","11:26'07""",0.76,Forage,,Night,
"11:26'07""","11:26'10""",3.04,Groom,,B_L(Night),
"11:26'10""","11:26'10""",0.28,Rear up Partially,,Night,
"11:26'10""","11:26'10""",0.20,Come Down From Partially Reared,,Night,
"11:26'10""","11:26'11""",0.16,Forage,,Night,
"11:26'11""","11:26'11""",0.40,Rear up Partially,,,
"11:26'11""","11:26'11""",0.48,Remain Partially Reared,,Night,
"11:26'11""","11:26'12""",0.24,Come Down From Partially Reared,,,
"11:26'12""","11:26'13""",0.24,Rear up Partially,,Night,
"11:26'13""","11:26'13""",0.48,Remain Partially Reared,,Night,
"11:26'13""","11:26'13""",0.16,Come Down From Partially Reared,,Night,
"11:26'13""","11:26'15""",2.08,Forage,,face-front/back(Night),
"11:26'16""","11:26'16""",0.32,Forage,,Night,
"11:26'16""","11:26'16""",0.28,Forage,,Night,
"11:26'16""","11:26'18""",1.76,Forage,,Night,
"11:26'18""","11:26'18""",0.16,Forage,,Night,
"11:26'19""","11:26'19""",0.20,Dig,,Night,
"11:26'19""","11:26'19""",0.28,Dig,,Night,
"11:26'19""","11:26'20""",0.32,Forage,,,
"11:26'20""","11:26'20""",0.24,Dig,,,
"11:26'20""","11:26'20""",0.08,Forage,,Night,
"11:26'20""","11:26'21""",0.56,Dig,,Night,
"11:26'21""","11:26'21""",0.16,Forage,,,
"11:26'22""","11:26'22""",0.20,Forage,,,
"11:26'22""","11:26'22""",0.20,Dig,,>PLF(Night),
"11:26'22""","11:26'22""",0.20,Forage,,Night,
"11:26'22""","11:26'23""",0.36,Dig,,Night,
"11:26'24""","11:26'24""",0.28,Dig,,Night,
"11:26'24""","11:26'24""",0.16,Forage,,Night,
"11:26'24""","11:26'25""",0.32,Forage,,Night,
"11:26'25""","11:26'25""",0.88,Dig,,Night,
"11:26'26""","11:26'26""",0.32,Forage,,,
"11:26'26""","11:26'26""",0.32,Dig,,Night,
"11:26'26""","11:26'26""",0.16,Dig,,Night,
"11:26'27""","11:26'27""",0.28,Dig,,Night,
"11:26'27""","11:26'27""",0.16,Dig,,Night,
"11:26'27""","11:26'27""",0.28,Rear up Partially,,Night,
"11:26'27""","11:26'28""",0.24,Remain Partially Reared,,Night,
"11:26'28""","11:26'28""",0.24,Come Down From Partially Reared,,Night,
"11:26'28""","11:26'28""",0.36,Dig,,Night,
"11:26'28""","11:26'29""",0.44,Forage,,Night,
"11:26'29""","11:26'29""",0.16,Dig,,Night,
"11:26'29""","11:26'29""",0.48,Forage,,Night,
"11:26'30""","11:26'30""",0.32,Forage,,Night,
"11:26'30""","11:26'30""",0.20,Stretch Body,,Night,
"11:26'30""","11:26'30""",0.16,Forage,,Night,
"11:26'30""","11:26'30""",0.24,Stretch Body,,Night,
"11:26'30""","11:26'31""",0.08,Forage,,Night,
"11:26'31""","11:26'31""",0.16,Dig,,Night,
"11:26'31""","11:26'31""",0.28,Dig,,Night,
"11:26'31""","11:26'31""",0.12,Forage,,Night,
"11:26'31""","11:26'32""",0.28,Dig,,Night,
"11:26'32""","11:26'32""",0.40,Forage,,Night,
"11:26'32""","11:26'32""",0.16,Forage,,Night,
"11:26'33""","11:26'33""",0.28,Forage,,Night,
"11:26'33""","11:26'33""",0.32,Forage,,Night,
"11:26'33""","11:26'34""",0.60,Forage,,Night,
"11:26'34""","11:26'34""",0.56,Dig,,Night,
"11:26'34""","11:26'35""",0.44,Forage,,face-front/back(Night),
"11:26'35""","11:26'35""",0.40,Dig,,,
"11:26'35""","11:26'36""",0.40,Forage,,face-front/back(Night),
"11:26'36""","11:26'36""",0.12,Forage,,face-front/back(Night),
"11:26'36""","11:26'36""",0.24,Dig,,Night,
"11:26'36""","11:26'36""",0.16,Forage,,Night,
"11:26'36""","11:26'37""",0.24,Dig,,Night,
"11:26'37""","11:26'37""",0.16,Forage,,Night,
"11:26'37""","11:26'37""",0.32,Forage,,Night,
"11:26'37""","11:26'38""",0.32,Dig,,>PLF(Night),
"11:26'38""","11:26'38""",0.08,Forage,,Night,
"11:26'38""","11:26'38""",0.52,Forage,,Night,
"11:26'38""","11:26'39""",0.28,Remain Partially Reared,,Night,
"11:26'39""","11:26'39""",0.72,"RearUp(RUfromPR, RemainRU)",,Night,
"11:26'39""","11:26'40""",0.24,Come Down,,Night,
"11:26'40""","11:26'40""",0.20,Forage,,Night,
"11:26'41""","11:26'41""",0.24,Rear up Partially,,face-front/back(Night),
"11:26'41""","11:26'41""",0.24,Come Down From Partially Reared,,,
"11:26'42""","11:26'42""",0.24,Rear up Partially,,Night,
"11:26'42""","11:26'42""",0.24,Come Down From Partially Reared,,,
"11:26'42""","11:26'42""",0.24,Rear up Partially,,Night,
"11:26'42""","11:26'43""",0.24,Come Down From Partially Reared,,,
"11:26'43""","11:26'43""",0.24,Rear up Partially,,Night,
"11:26'43""","11:26'43""",0.48,Remain Partially Reared,,,
"11:26'43""","11:26'44""",0.24,Come Down From Partially Reared,,,
"11:26'44""","11:26'49""",5.20,Groom,,B_L(Night),
"11:26'49""","11:26'52""",3.28,Drink Spout1,,,
"11:26'52""","11:26'52""",0.48,Sniff,,,
"11:26'52""","11:26'53""",0.48,Drink Spout1,,face-front/back(Night),
"11:26'53""","11:26'54""",0.72,Sniff,,,
"11:26'54""","11:26'54""",0.48,Drink Spout1,,face-front/back(Night),
"11:26'54""","11:26'58""",3.84,Sniff,,,
"11:26'58""","11:27'00""",1.68,Remain Partially Reared,,face-front/back(Night),
"11:27'00""","11:27'00""",0.24,Come Down From Partially Reared,,,
"11:27'00""","11:27'00""",0.20,Forage,,Night,
"11:27'01""","11:27'01""",0.16,Forage,,Night,
"11:27'01""","11:27'01""",0.16,Forage,,Night,
"11:27'01""","11:27'01""",0.24,Forage,,Night,
"11:27'02""","11:27'02""",0.16,Forage,,,
"11:27'02""","11:27'02""",0.16,Forage,,,
"11:27'02""","11:27'02""",0.16,Forage,,,
"11:27'03""","11:27'03""",0.24,Forage,,,
"11:27'03""","11:27'03""",0.16,Dig,,Night,
"11:27'03""","11:27'03""",0.12,Forage,,Night,
"11:27'03""","11:27'04""",0.60,Dig,,Night,
"11:27'04""","11:27'04""",0.16,Dig,,Night,
"11:27'04""","11:27'04""",0.20,Forage,,Night,
"11:27'05""","11:27'05""",0.28,Dig,,Night,
"11:27'05""","11:27'05""",0.28,Dig,,Night,
"11:27'05""","11:27'05""",0.12,Forage,,Night,
"11:27'05""","11:27'06""",0.20,Dig,,Night,
"11:27'06""","11:27'06""",0.36,Forage,,Night,
"11:27'06""","11:27'06""",0.16,Dig,,Night,
"11:27'06""","11:27'07""",0.20,Forage,,,
"11:27'07""","11:27'07""",0.20,Forage,,Night,
"11:27'07""","11:27'07""",0.16,Dig,,Night,
"11:27'08""","11:27'09""",0.88,Forage,,Night,
"11:27'09""","11:27'09""",0.16,Dig,,Night,
"11:27'09""","11:27'09""",0.24,Forage,,Night,
"11:27'10""","11:27'10""",0.16,Forage,,Night,
"11:27'10""","11:27'10""",0.28,Dig,,Night,
"11:27'10""","11:27'10""",0.40,Forage,,>B_L(Night),
"11:27'10""","11:27'11""",0.32,Forage,,Night,
"11:27'11""","11:27'11""",0.16,Dig,,Night,
"11:27'11""","11:27'11""",0.08,Forage,,Night,
"11:27'11""","11:27'11""",0.24,Forage,,Night,
"11:27'11""","11:27'11""",0.16,Dig,,Night,
"11:27'11""","11:27'12""",0.28,Walk Slowly,,Night,
"11:27'12""","11:27'12""",0.16,Forage,,Night,
"11:27'12""","11:27'12""",0.28,Walk Slowly,,Night,
"11:27'12""","11:27'13""",0.16,Forage,,Night,
"11:27'13""","11:27'14""",1.12,Forage,,Night,
"11:27'14""","11:27'14""",0.40,Rear up Partially,,Night,
"11:27'14""","11:27'15""",0.24,Remain Partially Reared,,Night,
"11:27'15""","11:27'15""",0.72,"RearUp(RUfromPR, RemainRU)",,Night,
"11:27'15""","11:27'16""",0.20,Come Down,,Night,
"11:27'16""","11:27'16""",0.16,Dig,,Night,
"11:27'16""","11:27'16""",0.16,Forage,,Night,
"11:27'16""","11:27'16""",0.12,Forage,,face-front/back(Night),
"11:27'16""","11:27'16""",0.16,Dig,,Night,
"11:27'16""","11:27'17""",0.28,Rear up Partially,,Night,
"11:27'17""","11:27'17""",0.48,Remain Partially Reared,,Night,
"11:27'17""","11:27'17""",0.48,Drink Spout1,,Night,
"11:27'18""","11:27'18""",0.12,Forage,,Night,
"11:27'18""","11:27'18""",0.20,Dig,,Night,
"11:27'18""","11:27'18""",0.16,Dig,,Night,
"11:27'18""","11:27'18""",0.08,Forage,,Night,
"11:27'18""","11:27'18""",0.16,Dig,,Night,
"11:27'18""","11:27'19""",0.64,Forage,,Night,
"11:27'19""","11:27'19""",0.16,Forage,,Night,
"11:27'19""","11:27'20""",0.20,Dig,,Night,
"11:27'20""","11:27'20""",0.16,Forage,,Night,
"11:27'20""","11:27'20""",0.28,Walk Slowly,,Night,
"11:27'20""","11:27'20""",0.28,Dig,,Night,
"11:27'20""","11:27'21""",0.60,Forage,,Night,
"11:27'21""","11:27'21""",0.28,Rear up Partially,,Night,
"11:27'21""","11:27'22""",0.28,Forage,,Night,
"11:27'22""","11:27'22""",0.28,Dig,,,
"11:27'24""","11:27'24""",0.24,Rear up Partially,,Night,
"11:27'24""","11:27'24""",0.24,Remain Partially Reared,,Night,
"11:27'24""","11:27'25""",0.24,Come Down From Partially Reared,,Night,
"11:27'25""","11:27'25""",0.28,Forage,,Night,
"11:27'25""","11:27'25""",0.16,Forage,,Night,
"11:27'25""","11:27'25""",0.28,Walk Slowly,,Night,
"11:27'26""","11:27'30""",4.52,Groom,,B_L(Night),
"11:27'30""","11:27'30""",0.32,Forage,,Night,
"11:27'30""","11:27'31""",0.16,Dig,,Night,
"11:27'31""","11:27'37""",6.28,Eat Zone1,,Night,
"11:27'37""","11:27'37""",0.16,Come Down,,,
"11:27'37""","11:27'38""",0.88,Forage,,Night,
"11:27'38""","11:27'38""",0.20,Dig,,,
"11:27'38""","11:27'39""",0.16,Dig,,Night,
"11:27'39""","11:27'39""",0.28,Walk Right,,Night,
"11:27'39""","11:27'39""",0.24,Remain RearUp,,Night,
"11:27'39""","11:27'39""",0.24,Come Down To Partially Reared,,>HdW(Night),
"11:27'40""","11:27'40""",0.28,Forage,,Night,
"11:27'40""","11:27'41""",0.16,Rear up Partially,,Night,
"11:27'41""","11:27'41""",0.56,Jump,,Night,
"11:27'41""","11:27'41""",0.28,Remain Partially Reared,,Night,
"11:27'41""","11:27'42""",0.24,Come Down From Partially Reared,,Night,
"11:27'42""","11:27'42""",0.48,"RearUp(RearUp, RemainRU)",,Night,
"11:27'42""","11:27'42""",0.24,Come Down To Partially Reared,,Night,
"11:27'42""","11:27'43""",0.72,"RearUp(RUfromPR, RemainRU)",,Night,
"11:27'43""","11:27'44""",0.48,Drink Spout1,,Night,
"11:27'44""","11:27'44""",0.48,Remain RearUp,,Night,
"11:27'44""","11:27'44""",0.36,Come Down To Partially Reared,,Night,
"11:27'44""","11:27'46""",1.08,Remain Hang Vertically,,Night,
"11:27'46""","11:27'46""",0.72,"HangCuddled(HangCudl, RemainHC)",,Night,
"11:27'46""","11:27'47""",0.24,HangVertically From HangCuddled,,Night,
"11:27'47""","11:27'47""",0.72,"HangCuddled(HangCudl, RemainHC)",,,
"11:27'47""","11:27'48""",0.68,"ComeDown(CDtoPR, CDfromPR)",,,
"11:27'48""","11:27'48""",0.28,Dig,,Night,
"11:27'48""","11:27'49""",0.16,Forage,,Night,
"11:27'49""","11:27'49""",0.32,Forage,,Night,
"11:27'49""","11:27'49""",0.32,Forage,,Night,
"11:27'49""","11:27'50""",0.48,Dig,,Night,
"11:27'50""","11:27'50""",0.40,Forage,,Night,
"11:27'50""","11:27'51""",0.32,Dig,,Night,
"11:27'51""","11:27'51""",0.16,Forage,,Night,
"11:27'51""","11:27'52""",1.24,Eat Zone1,,Night,
"11:27'52""","11:27'53""",0.72,Chew,,Night,
"11:27'53""","11:27'55""",2.36,Eat Zone1,,Night,
"11:27'55""","11:27'56""",0.36,Chew,,Night,
"11:27'56""","11:27'57""",1.20,Eat Zone1,,face-front/back(Night),
"11:27'57""","11:27'57""",0.48,Chew,,,
"11:27'58""","11:27'58""",0.72,Remain Partially Reared,,Night,
"11:27'58""","11:27'59""",0.44,Dig,,Night,
"11:28'00""","11:28'00""",0.16,Forage,,Night,
"11:28'00""","11:28'00""",0.16,Dig,,Night,
"11:28'00""","11:28'01""",0.28,Walk Right,,Night,
"11:28'01""","11:28'01""",0.48,Sniff,,,
"11:28'01""","11:28'02""",0.48,Drink Spout1,,Night,
"11:28'02""","11:28'03""",1.44,Sniff,,,
"11:28'03""","11:28'03""",0.24,Come Down From Partially Reared,,Night,
"11:28'03""","11:28'04""",0.64,Forage,,,
"11:28'05""","11:28'05""",0.72,"RearUp(RUtoPR, RUfromPR, RemainRU)",,,
"11:28'05""","11:28'06""",0.24,Come Down To Partially Reared,,Night,
"11:28'06""","11:28'06""",0.48,Remain Partially Reared,,Night,
"11:28'06""","11:28'06""",0.24,Rear up Full From Partial,,Night,
"11:28'06""","11:28'09""",2.40,Sniff,,,
"11:28'09""","11:28'09""",0.24,Remain RearUp,,Night,
"11:28'09""","11:28'09""",0.24,Come Down To Partially Reared,,,
"11:28'09""","11:28'10""",0.48,Remain Partially Reared,,Night,
"11:28'10""","11:28'10""",0.24,Come Down From Partially Reared,,Night,
"11:28'10""","11:28'10""",0.20,Forage,,Night,
"11:28'10""","11:28'10""",0.16,Forage,,Night,
"11:28'11""","11:28'11""",0.68,Dig,,Night,
"11:28'11""","11:28'12""",0.32,Forage,,Night,
"11:28'12""","11:28'12""",0.28,Remain Partially Reared,,Night,
"11:28'12""","11:28'12""",0.24,Walk Left,,Night,
"11:28'12""","11:28'13""",0.96,"RearUp(RUfromPR, RemainRU)",,Night,
"11:28'13""","11:28'13""",0.24,Come Down,,Night,
"11:28'14""","11:28'15""",0.96,"RearUp(RUtoPR, RUfromPR, RemainRU)",,Night,
"11:28'15""","11:28'15""",0.24,Hang Vertically From Rear Up,,Night,
"11:28'15""","11:28'17""",2.52,"HangCuddled(HangCudl, RemainHC)",,Night,
"11:28'17""","11:28'18""",0.36,Rear up Full From Partial,,Night,
"11:28'18""","11:28'19""",0.96,Sniff,,,
"11:28'19""","11:28'19""",0.48,"ComeDown(CDtoPR, CDfromPR)",,Night,
"11:28'19""","11:28'20""",0.24,Dig,,Night,
"11:28'20""","11:28'20""",0.28,Rear up Partially,,,
"11:28'20""","11:28'20""",0.24,Remain Partially Reared,,Night,
"11:28'20""","11:28'21""",0.48,"RearUp(RUfromPR, RemainRU)",,Night,
"11:28'21""","11:28'21""",0.24,Walk Left,,>PLF(Night),
"11:28'21""","11:28'21""",0.24,Remain RearUp,,Night,
"11:28'21""","11:28'22""",0.72,"HangCuddled(HangCudl, RemainHC)",,Night,
"11:28'22""","11:28'22""",0.24,Land Vertically,,Night,
"11:28'22""","11:28'23""",0.72,Sniff,,,
"11:28'23""","11:28'23""",0.24,Come Down,,Night,
"11:28'23""","11:28'23""",0.16,Dig,,,
"11:28'23""","11:28'23""",0.16,Dig,,,
"11:28'23""","11:28'24""",0.28,Walk Right,,Night,
"11:28'24""","11:28'24""",0.24,Rear Up,,Night,
"11:28'24""","11:28'24""",0.48,Sniff,,,
"11:28'24""","11:28'25""",0.48,Drink Spout1,,Night,
"11:28'25""","11:28'25""",0.24,Rear up Full From Partial,,Night,
"11:28'25""","11:28'30""",4.44,"HangCuddled(HangCudl, RemainHC)",,Night,
"11:28'30""","11:28'30""",0.24,Land Vertically,,Night,
"11:28'30""","11:28'30""",0.48,Remain RearUp,,Night,
"11:28'30""","11:28'32""",1.92,"HangCuddled(HangCudl, RemainHC)",,Night,
"11:28'32""","11:28'33""",0.24,Walk Right,,Night,
"11:28'33""","11:28'33""",0.48,"HangVertically(HVfromHC, RemainHV)",,Night,
"11:28'33""","11:28'37""",4.44,"HangCuddled(HangCudl, RemainHC)",,Night,
"11:28'37""","11:28'38""",0.36,Come Down From Partially Reared,,Night,
"11:28'38""","11:28'38""",0.16,Forage,,Night,
"11:28'38""","11:28'38""",0.16,Dig,,Night,
"11:28'38""","11:28'39""",0.28,Rear up Partially,,Night,
"11:28'39""","11:28'39""",0.48,Remain Partially Reared,,,
"11:28'39""","11:28'39""",0.24,Come Down From Partially Reared,,>B_L(Night),
"11:28'39""","11:28'40""",0.20,Forage,,Night,
"11:28'40""","11:28'40""",0.28,Rear up Partially,,Night,
"11:28'40""","11:28'40""",0.24,Come Down From Partially Reared,,Night,
"11:28'40""","11:28'40""",0.20,Dig,,Night,
"11:28'40""","11:28'41""",0.16,Dig,,,
"11:28'41""","11:28'42""",1.84,"RearUp(RUtoPR, RUfromPR, RemainRU)",,Night,
"11:28'42""","11:28'43""",0.48,"HangVertically(HVfromRU, RemainHV)",,Night,
"11:28'43""","11:28'44""",0.72,"HangCuddled(HangCudl, RemainHC)",,Night,
"11:28'44""","11:28'44""",0.24,Walk Right,,Night,
"11:28'44""","11:28'50""",6.24,Remain Hang Cuddled,,Night,
"11:28'50""","11:28'50""",0.24,Walk Right,,Night,
"11:28'50""","11:28'51""",0.72,Remain Hang Cuddled,,face-front/back(Night),
"11:28'51""","11:28'51""",0.24,Land Vertically,,Night,
"11:28'51""","11:28'52""",0.48,Remain RearUp,,face-front/back(Night),
"11:28'52""","11:28'53""",0.72,"HangCuddled(HangCudl, RemainHC)",,Night,
"11:28'53""","11:28'53""",0.84,"HangVertically(HVfromHC, RemainHV)",,Night,
"11:28'53""","11:28'58""",4.92,"HangCuddled(HangCudl, RemainHC)",,Night,
"11:28'59""","11:28'59""",0.24,Dig,,Night,
"11:28'59""","11:28'59""",0.16,Dig,,Night,
"11:28'59""","11:28'59""",0.40,Rear up Partially,,Night,
"11:28'59""","11:29'00""",0.24,Come Down From Partially Reared,,Night,
"11:29'00""","11:29'00""",0.28,Forage,,Night,
"11:29'00""","11:29'00""",0.40,Drink Spout1,,Night,
"11:29'00""","11:29'02""",1.20,"RearUp(RearUp, RemainRU)",,Night,
"11:29'02""","11:29'08""",6.72,"HangVertically(HVfromRU, RemainHV)",,Night,
"11:29'08""","11:29'09""",0.36,Come Down To Partially Reared,,face-front/back(Night),
"11:29'09""","11:29'11""",2.28,Remain Hang Vertically,,,
"11:29'11""","11:29'11""",0.36,Land Vertically,,,
"11:29'11""","11:29'12""",1.20,Remain RearUp,,Night,
"11:29'12""","11:29'13""",0.24,Hang Vertically From Rear Up,,Night,
"11:29'13""","11:29'13""",0.24,Land Vertically,,Night,
"11:29'13""","11:29'19""",6.48,Remain RearUp,,,
"11:29'19""","11:29'20""",0.72,Drink Spout1,,,
"11:29'20""","11:29'21""",0.48,Remain RearUp,,,
"11:29'21""","11:29'21""",0.24,Hang Vertically From Rear Up,,,
"11:29'21""","11:29'21""",0.24,Land Vertically,,face-front/back(Night),
"11:29'21""","11:29'27""",6.24,Sniff,,,
"11:29'27""","11:29'28""",0.96,Remain RearUp,,Night,
"11:29'28""","11:29'29""",0.24,Come Down To Partially Reared,,,
"11:29'29""","11:29'29""",0.24,Rear up Full From Partial,,Night,
"11:29'29""","11:29'29""",0.24,Come Down To Partially Reared,,Night,
"11:29'29""","11:29'30""",0.96,Remain Partially Reared,,Night,
"11:29'30""","11:29'30""",0.24,Rear up Full From Partial,,,
"11:29'30""","11:29'32""",1.92,Sniff,,face-left(Night),
"11:29'32""","11:29'32""",0.24,Remain RearUp,,face-front/back(Night),
"11:29'32""","11:29'33""",0.24,Come Down To Partially Reared,,Night,
"11:29'33""","11:29'33""",0.72,Sniff,,,
"11:29'33""","11:29'34""",0.16,Come Down From Partially Reared,,>PLF(Night),
"11:29'34""","11:29'34""",0.08,Forage,,,
"11:29'34""","11:29'34""",0.16,Dig,,Night,
"11:29'34""","11:29'34""",0.24,Forage,,Night,
"11:29'34""","11:29'35""",0.16,Forage,,Night,
"11:29'35""","11:29'35""",0.40,Rear up Partially,,Night,
"11:29'35""","11:29'35""",0.24,Come Down From Partially Reared,,Night,
"11:29'35""","11:29'36""",0.28,Dig,,face-front/back(Night),
"11:29'36""","11:29'36""",0.40,Rear up Partially,,Night,
"11:29'36""","11:29'37""",0.96,Eat Zone1,,Night,
"11:29'37""","11:29'37""",0.24,Remain Partially Reared,,Night,
"11:29'37""","11:29'37""",0.24,Come Down From Partially Reared,,,
"11:29'38""","11:29'38""",0.28,Dig,,face-front/back(Night),
"11:29'38""","11:29'38""",0.16,Forage,,Night,
"11:29'38""","11:29'38""",0.28,Walk Right,,Night,
"11:29'38""","11:29'39""",0.24,Remain Partially Reared,,face-front/back(Night),
"11:29'39""","11:29'39""",0.24,Rear up Full From Partial,,Night,
"11:29'39""","11:29'40""",0.96,Sniff,,,
"11:29'40""","11:29'40""",0.24,Come Down To Partially Reared,,Night,
"11:29'40""","11:29'41""",0.48,Remain Partially Reared,,Night,
"11:29'41""","11:29'41""",0.24,Rear up Full From Partial,,Night,
"11:29'41""","11:29'42""",1.20,Sniff,,,
"11:29'42""","11:29'42""",0.48,Stretch Body,,,
"11:29'42""","11:29'43""",0.24,Sniff,,,
"11:29'43""","11:29'43""",0.48,"HangVertically(HVfromRU, RemainHV)",,Night,
"11:29'43""","11:29'43""",0.24,Land Vertically,,Night,
"11:29'43""","11:29'45""",1.20,Remain RearUp,,Night,
"11:29'45""","11:29'45""",0.24,Come Down To Partially Reared,,,
"11:29'45""","11:29'46""",0.84,Sniff,,,
"11:29'46""","11:29'46""",0.60,Jump,,,
"11:29'46""","11:29'47""",0.52,Sniff,,,
"11:29'47""","11:29'47""",0.24,Rear up Full From Partial,,,
"11:29'47""","11:29'48""",1.20,"HangVertically(HVfromRU, RemainHV)",,,
"11:29'48""","11:29'49""",0.48,"HangCuddled(HangCudl, RemainHC)",,Night,
"11:29'49""","11:29'49""",0.48,"HangVertically(HVfromHC, RemainHV)",,Night,
"11:29'49""","11:29'50""",0.48,"HangCuddled(HangCudl, RemainHC)",,Night,
"11:29'50""","11:29'51""",1.20,"HangVertically(HVfromHC, RemainHV)",,Night,
"11:29'51""","11:29'51""",0.48,"HangCuddled(HangCudl, RemainHC)",,Night,
"11:29'51""","11:29'52""",0.48,"HangVertically(HVfromHC, RemainHV)",,Night,
"11:29'52""","11:29'52""",0.48,"HangCuddled(HangCudl, RemainHC)",,Night,
"11:29'52""","11:29'55""",3.12,"HangVertically(HVfromHC, RemainHV)",,Night,
"11:29'55""","11:30'06""",10.32,"HangCuddled(HangCudl, RemainHC)",,Night,
"11:30'06""","11:30'06""",0.24,Forage,,Night,
"11:30'06""","11:30'06""",0.20,Dig,,Night,
"11:30'06""","11:30'07""",0.12,Forage,,Night,
"11:30'07""","11:30'07""",0.44,Forage,,,
"11:30'07""","11:30'07""",0.24,Dig,,Night,
"11:30'07""","11:30'08""",0.40,Forage,,Night,
"11:30'08""","11:30'08""",0.20,Forage,,Night,
"11:30'08""","11:30'08""",0.40,Rear up Partially,,Night,
"11:30'08""","11:30'09""",0.24,Remain Partially Reared,,Night,
"11:30'09""","11:30'09""",0.24,Rear up Full From Partial,,Night,
"11:30'09""","11:30'09""",0.24,Come Down To Partially Reared,,Night,
"11:30'09""","11:30'10""",0.48,Walk Slowly,,Night,
"11:30'10""","11:30'10""",0.24,HangVertically From HangCuddled,,,
"11:30'10""","11:30'20""",10.20,"HangCuddled(HangCudl, RemainHC, HangCudl, RemainHC)",,Night,
"11:30'21""","11:30'21""",0.16,Dig,,Night,
"11:30'21""","11:30'21""",0.40,Forage,,Night,
"11:30'21""","11:30'22""",0.28,Dig,,Night,
"11:30'22""","11:30'22""",0.16,Forage,,Night,
"11:30'22""","11:30'22""",0.16,Forage,,Night,
"11:30'22""","11:30'22""",0.24,Dig,,,
"11:30'22""","11:30'27""",4.32,Groom,,B_L(Night),
"11:30'27""","11:30'27""",0.20,Walk Slowly,,Night,
"11:30'27""","11:30'27""",0.20,Forage,,,
"11:30'27""","11:30'27""",0.20,Forage,,face-front/back(Night),
"11:30'27""","11:30'28""",0.28,Rear up Partially,,,
"11:30'28""","11:30'28""",0.48,Remain Partially Reared,,Night,
"11:30'28""","11:30'28""",0.24,Come Down From Partially Reared,,face-front/back(Night),
"11:30'28""","11:30'29""",0.28,Forage,,Night,
"11:30'29""","11:30'29""",0.20,Dig,,,
"11:30'29""","11:30'29""",0.20,Dig,,,
"11:30'29""","11:30'30""",0.64,"RearUp(RUtoPR, RUfromPR)",,Night,
"11:30'30""","11:30'32""",2.16,Sniff,,,
"11:30'32""","11:30'35""",3.32,No Data,,,
"11:30'35""","11:31'16""",40.56,Remain Hang Cuddled,,Night,
"11:31'16""","11:31'19""",2.80,No Data,,,
"11:31'19""","11:31'20""",1.20,Sniff,,,
"11:31'20""","11:31'20""",0.24,Remain RearUp,,Night,
"11:31'20""","11:31'21""",0.24,Come Down To Partially Reared,,Night,
"11:31'21""","11:31'21""",0.24,Remain Partially Reared,,Night,
"11:31'21""","11:31'21""",0.16,Dig,,Night,
"11:31'21""","11:31'22""",0.64,Eat Zone1,,Night,
"11:31'22""","11:31'22""",0.24,Remain Partially Reared,,,
"11:31'22""","11:31'22""",0.24,Come Down From Partially Reared,,Night,
"11:31'22""","11:31'23""",0.24,Rear up Partially,,Night,
"11:31'23""","11:31'23""",0.24,Remain Partially Reared,,Night,
"11:31'23""","11:31'23""",0.24,Rear up Full From Partial,,Night,
"11:31'23""","11:31'23""",0.24,Come Down,,Night,
"11:31'24""","11:31'24""",0.24,Rear up Partially,,Night,
"11:31'24""","11:31'24""",0.72,Eat Zone1,,Night,
"11:31'24""","11:31'25""",0.96,Remain RearUp,,Night,
"11:31'25""","11:31'26""",0.16,Come Down,,Night,
"11:31'26""","11:31'26""",0.20,Forage,,Night,
"11:31'26""","11:31'26""",0.32,Dig,,Night,
"11:31'26""","11:31'27""",0.16,Dig,,Night,
"11:31'27""","11:31'27""",0.28,Walk Slowly,,Night,
"11:31'27""","11:31'27""",0.16,Forage,,Night,
"11:31'27""","11:31'27""",0.16,Forage,,Night,
"11:31'27""","11:31'28""",0.40,Rear up Partially,,face-front/back(Night),
"11:31'28""","11:31'28""",0.24,Remain Partially Reared,,Night,
"11:31'28""","11:31'28""",0.24,Come Down From Partially Reared,,,
"11:31'28""","11:31'29""",0.08,Forage,,Night,
"11:31'29""","11:31'29""",0.24,Dig,,Night,
"11:31'29""","11:31'29""",0.52,Drink Spout1,,Night,
"11:31'29""","11:31'30""",0.40,Forage,,,
"11:31'30""","11:31'30""",0.28,Dig,,Night,
"11:31'30""","11:31'31""",1.24,"RearUp(RUtoPR, RUfromPR, RemainRU)",,Night,
"11:31'31""","11:31'32""",0.24,Come Down To Partially Reared,,Night,
"11:31'32""","11:31'32""",0.48,Remain Partially Reared,,Night,
"11:31'32""","11:31'33""",0.72,"RearUp(RUfromPR, RemainRU)",,Night,
"11:31'33""","11:31'33""",0.72,Drink Spout1,,Night,
